ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-06-01 09:30:00.536623247-04:00,2026-06-01 13:30:00.536453416+00:00,10,2,38,C,B,1,309.49,40,128,169831,49868679,309.5,309.71,2,4,1,1,309.49,309.76,90,20,2,1,309.4,309.88,1,2530,1,2,309.32,309.98,1,39,1,1,309.31,310.06,1,1300,1,1,309.2,310.1,5,7,3,2,309.15,310.17,50,30,1,1,309.07,310.19,1,300,1,1,309.05,310.2,10,201,1,2,309.03,310.23,200,40,1,1,AAPL
2026-06-01 09:30:00.536638097-04:00,2026-06-01 13:30:00.536467877+00:00,10,2,38,C,B,1,309.49,40,128,170220,49868681,309.5,309.71,2,4,1,1,309.49,309.76,50,20,1,1,309.4,309.88,1,2530,1,2,309.32,309.98,1,39,1,1,309.31,310.06,1,1300,1,1,309.2,310.1,5,7,3,2,309.15,310.17,50,30,1,1,309.07,310.19,1,300,1,1,309.05,310.2,10,201,1,2,309.03,310.23,200,40,1,1,AAPL
2026-06-01 09:30:00.548287257-04:00,2026-06-01 13:30:00.548112570+00:00,10,2,38,T,N,0,309.52,2,128,174687,49874661,309.5,309.71,2,4,1,1,309.49,309.76,50,20,1,1,309.4,309.88,1,2530,1,2,309.32,309.98,1,39,1,1,309.31,310.06,1,1300,1,1,309.2,310.1,5,7,3,2,309.15,310.17,50,30,1,1,309.07,310.19,1,300,1,1,309.05,310.2,10,201,1,2,309.03,310.23,200,40,1,1,AAPL
2026-06-01 09:30:00.548349741-04:00,2026-06-01 13:30:00.548179311+00:00,10,2,38,T,N,0,309.52,76,0,170430,49874712,309.5,309.71,2,4,1,1,309.49,309.76,50,20,1,1,309.4,309.88,1,2530,1,2,309.32,309.98,1,39,1,1,309.31,310.06,1,1300,1,1,309.2,310.1,5,7,3,2,309.15,310.17,50,30,1,1,309.07,310.19,1,300,1,1,309.05,310.2,10,201,1,2,309.03,310.23,200,40,1,1,AAPL
2026-06-01 09:30:00.548349741-04:00,2026-06-01 13:30:00.548179311+00:00,10,2,38,T,N,0,309.51,6,0,170430,49874713,309.5,309.71,2,4,1,1,309.49,309.76,50,20,1,1,309.4,309.88,1,2530,1,2,309.32,309.98,1,39,1,1,309.31,310.06,1,1300,1,1,309.2,310.1,5,7,3,2,309.15,310.17,50,30,1,1,309.07,310.19,1,300,1,1,309.05,310.2,10,201,1,2,309.03,310.23,200,40,1,1,AAPL
2026-06-01 09:30:00.548349741-04:00,2026-06-01 13:30:00.548179311+00:00,10,2,38,T,N,0,309.51,24,128,170430,49874714,309.5,309.71,2,4,1,1,309.49,309.76,50,20,1,1,309.4,309.88,1,2530,1,2,309.32,309.98,1,39,1,1,309.31,310.06,1,1300,1,1,309.2,310.1,5,7,3,2,309.15,310.17,50,30,1,1,309.07,310.19,1,300,1,1,309.05,310.2,10,201,1,2,309.03,310.23,200,40,1,1,AAPL
2026-06-01 09:30:00.548355602-04:00,2026-06-01 13:30:00.548179311+00:00,10,2,38,T,N,0,309.51,34,128,176291,49874715,309.5,309.71,2,4,1,1,309.49,309.76,50,20,1,1,309.4,309.88,1,2530,1,2,309.32,309.98,1,39,1,1,309.31,310.06,1,1300,1,1,309.2,310.1,5,7,3,2,309.15,310.17,50,30,1,1,309.07,310.19,1,300,1,1,309.05,310.2,10,201,1,2,309.03,310.23,200,40,1,1,AAPL
2026-06-01 09:30:00.555550773-04:00,2026-06-01 13:30:00.555381222+00:00,10,2,38,T,A,0,309.5,2,0,169551,49879028,309.5,309.71,2,4,1,1,309.49,309.76,50,20,1,1,309.4,309.88,1,2530,1,2,309.32,309.98,1,39,1,1,309.31,310.06,1,1300,1,1,309.2,310.1,5,7,3,2,309.15,310.17,50,30,1,1,309.07,310.19,1,300,1,1,309.05,310.2,10,201,1,2,309.03,310.23,200,40,1,1,AAPL
2026-06-01 09:30:00.555550773-04:00,2026-06-01 13:30:00.555381222+00:00,10,2,38,C,B,0,309.5,2,128,169551,49879028,309.49,309.71,50,4,1,1,309.4,309.76,1,20,1,1,309.32,309.88,1,2530,1,2,309.31,309.98,1,39,1,1,309.2,310.06,5,1300,3,1,309.15,310.1,50,7,1,2,309.07,310.17,1,30,1,1,309.05,310.19,10,300,1,1,309.03,310.2,200,201,1,2,309.0,310.23,1059,40,33,1,AAPL
2026-06-01 09:30:00.555571944-04:00,2026-06-01 13:30:00.555404477+00:00,10,2,38,A,A,0,309.67,35,128,167467,49879040,309.49,309.67,50,35,1,1,309.4,309.71,1,4,1,1,309.32,309.76,1,20,1,1,309.31,309.88,1,2530,1,2,309.2,309.98,5,39,3,1,309.15,310.06,50,1300,1,1,309.07,310.1,1,7,1,2,309.05,310.17,10,30,1,1,309.03,310.19,200,300,1,1,309.0,310.2,1059,201,33,2,AAPL
